table(i,j), i, j = -5.14541e+01, 0, 112
table(i,j), i, j = -5.14541e+01, 0, 113
table(i,j), i, j = -5.14541e+01, 0, 114
table(i,j), i, j = -5.14541e+01, 0, 115
table(i,j), i, j = -5.14541e+01, 0, 116
table(i,j), i, j = -5.14541e+01, 0, 117
table(i,j), i, j = -5.14541e+01, 0, 118
table(i,j), i, j = -5.14541e+01, 0, 119
table(i,j), i, j = -5.14541e+01, 0, 120
table(i,j), i, j = -5.14541e+01, 0, 121
table(i,j), i, j = -5.14541e+01, 0, 122
table(i,j), i, j = -5.14541e+01, 0, 123
table(i,j), i, j = -5.14541e+01, 0, 124
table(i,j), i, j = -5.14541e+01, 0, 125
table(i,j), i, j = -5.14541e+01, 0, 126
table(i,j), i, j = -5.14541e+01, 0, 127
table(i,j), i, j = -5.14541e+01, 0, 128
table(i,j), i, j = -5.14541e+01, 0, 129
table(i,j), i, j = -5.14541e+01, 0, 130
table(i,j), i, j = -5.14541e+01, 0, 131
table(i,j), i, j = -5.14541e+01, 0, 132
table(i,j), i, j = -5.14541e+01, 0, 133
table(i,j), i, j = -5.14541e+01, 0, 134
table(i,j), i, j = -5.14541e+01, 0, 135
table(i,j), i, j = -5.14541e+01, 0, 136
table(i,j), i, j = -5.14541e+01, 0, 137
table(i,j), i, j = -5.14541e+01, 0, 138
table(i,j), i, j = -5.14541e+01, 0, 139
table(i,j), i, j = -5.14541e+01, 0, 140
table(i,j), i, j = -5.14541e+01, 0, 141
table(i,j), i, j = -5.14541e+01, 0, 142
table(i,j), i, j = -5.14541e+01, 0, 143
table(i,j), i, j = -5.14541e+01, 0, 144
table(i,j), i, j = -5.14541e+01, 0, 145
table(i,j), i, j = -5.14541e+01, 0, 146
table(i,j), i, j = -5.14541e+01, 0, 147
table(i,j), i, j = -5.14541e+01, 0, 148
table(i,j), i, j = -5.14541e+01, 0, 149
table(i,j), i, j = -5.14541e+01, 0, 150
table(i,j), i, j = -5.14541e+01, 0, 151
table(i,j), i, j = -5.14541e+01, 0, 152
table(i,j), i, j = -5.14541e+01, 0, 153
table(i,j), i, j = -5.14541e+01, 0, 154
table(i,j), i, j = -5.14541e+01, 0, 155
table(i,j), i, j = -5.14541e+01, 0, 156
table(i,j), i, j = -5.14541e+01, 0, 157
table(i,j), i, j = -5.14541e+01, 0, 158
table(i,j), i, j = -5.14541e+01, 0, 159
table(i,j), i, j = -5.14541e+01, 0, 160
table(i,j), i, j = 2.68059e+01, 1, 0
table(i,j), i, j = 2.67961e+01, 1, 1
table(i,j), i, j = 2.67860e+01, 1, 2
table(i,j), i, j = 2.67566e+01, 1, 3
table(i,j), i, j = 2.67420e+01, 1, 4
table(i,j), i, j = 2.67224e+01, 1, 5
table(i,j), i, j = 2.67126e+01, 1, 6
table(i,j), i, j = 2.66882e+01, 1, 7
table(i,j), i, j = 2.66686e+01, 1, 8
table(i,j), i, j = 2.66540e+01, 1, 9
table(i,j), i, j = 2.66344e+01, 1, 10
table(i,j), i, j = 2.66247e+01, 1, 11
table(i,j), i, j = 2.66100e+01, 1, 12
table(i,j), i, j = 2.66051e+01, 1, 13
table(i,j), i, j = 2.65855e+01, 1, 14
table(i,j), i, j = 2.65709e+01, 1, 15
table(i,j), i, j = 2.65562e+01, 1, 16
table(i,j), i, j = 2.65464e+01, 1, 17
table(i,j), i, j = 2.65318e+01, 1, 18
table(i,j), i, j = 2.65122e+01, 1, 19
table(i,j), i, j = 2.64976e+01, 1, 20
table(i,j), i, j = 2.64752e+01, 1, 21
table(i,j), i, j = 2.64458e+01, 1, 22
table(i,j), i, j = 2.64263e+01, 1, 23
table(i,j), i, j = 2.64165e+01, 1, 24
table(i,j), i, j = 2.63774e+01, 1, 25
table(i,j), i, j = 2.63676e+01, 1, 26
table(i,j), i, j = 2.63481e+01, 1, 27
table(i,j), i, j = 2.63090e+01, 1, 28
table(i,j), i, j = 2.63090e+01, 1, 29
table(i,j), i, j = 2.62796e+01, 1, 30
table(i,j), i, j = 2.62503e+01, 1, 31
